miasto,n,mediana,srednia
GORZYCE,9,250000.0,234444.44444444444
DORPOSZ CHEŁMIŃSKI,9,70000.0,74733.33333333333
MŁYNIEC DRUGI,9,470000.0,418777.77777777775
LUSZKOWO,9,75000.0,79111.11111111111
SZCZUTKI,9,475000.0,421222.22222222225
DZIARNOWO,9,123500.0,151500.0
MROZOWO,9,130000.0,184666.66666666666
DRĄŻNO,9,8825.4,18320.655555555553
DUSOCIN,9,165000.0,187944.44444444444
DĄBIE,9,65000.0,123053.33333333333
MATYLDZIN,9,50000.0,116542.52222222222
ŁĘG,9,130000.0,226166.66666666666
MAŁE ŁUNAWY,9,260000.0,213333.33333333334
BRZOZOWO,9,205000.0,196284.44444444444
KIEŁPIN,9,130000.0,168555.55555555556
BUSZKOWO,9,225000.0,247661.11111111112
WIĘCŁAWICE,9,140000.0,161111.11111111112
WOLWARK,9,235000.0,324444.44444444444
STEKLINEK,9,140000.0,279111.1111111111
JUNCEWO,9,280000.0,232811.11111111112
OBÓRZNIA,9,425000.0,351515.0
LIPIE,9,95000.0,123055.55555555556
LIPIENICA,9,130000.0,242944.44444444444
STARY DWÓR,9,478600.0,479844.44444444444
OKONINY,9,330000.0,387666.6666666667
STANISŁAWKA,9,566000.0,513777.77777777775
ORLE,9,105000.0,139555.55555555556
OPORÓWEK,9,140000.0,315000.0
KŁOPOT,9,390000.0,292222.22222222225
DĘBINY,9,100000.0,129600.0
PARLIN,9,75000.0,212777.77777777778
PAPARZYN,9,240000.0,206864.93444444443
SADŁOGOSZCZ,9,172362.0,252218.55555555556
PRĄDKI,9,490000.0,535046.8877777779
MODLIBORZYCE,9,120000.0,176938.88888888888
TERESIN,9,190000.0,194333.33333333334
BIAŁKOWO,9,130000.0,168644.44444444444
ŁYSKOWO,8,92000.0,90562.5
SZTYNWAG,8,411500.0,434775.0
UŚCIKOWO,8,55000.0,63125.0
MARCINKOWO GÓRNE,8,64000.0,63500.0
KARNOWO,8,147500.0,179470.65625
TRZEBCZ SZLACHECKI,8,312500.0,254625.0
TRLĄG,8,77500.0,123437.5
BIAŁOŻEWIN,8,180000.0,200000.0
MLEWO,8,128750.0,148188.375
GÓRNA GRUPA,8,217500.0,221712.5
WŁOŚCIBÓRZ,8,106000.0,99675.0
DĄBRÓWKA KRÓLEWSKA,8,57500.0,93150.0
JAKUBKOWO,8,60000.0,102100.0
PODZAMEK GOLUBSKI,8,201500.0,247000.0
CICHORADZ,8,70000.0,152750.0
CIERPLEWO,8,225000.0,214282.125
GAŁCZEWKO,8,56000.0,95834.53125
PIŃSKO,8,62500.0,92518.75
WYSOKA WIEŚ,8,497500.0,492312.5
ZAMEK BIERZGŁOWSKI,8,584500.0,561278.75
JANKOWO,8,253045.0,269188.5
POLSKI KONOPAT,8,122500.0,185325.0
ZĘBOWO,8,182500.0,159220.25
CHROŚNA,8,237500.0,298742.5
ŁOJEWO,8,132000.0,128375.0
ZDROJE,8,155000.0,155000.0
ZDROJEWO,8,217500.0,257000.0
PLESEWO,8,58500.0,88465.0
RADZIM,8,72000.0,80187.5
ŚMIELIN,8,232500.0,290625.0
PŁOCHOCIN,8,100000.0,203085.0
ŁĄKIE,8,21518.0,87278.5
BIAŁOCHOWO,8,120000.0,201004.375
WERY,8,88000.0,130387.5
NIECHORZ,8,87500.0,94834.375
LINOWIEC,8,60000.0,61250.0
DRZONOWO,8,20000.0,43750.0
SZELEJEWO,8,47500.0,81575.0
GÓRKI,8,102500.0,108750.0
NIEMCZYK,8,95000.0,108375.0
DZIEDZINEK,8,70000.0,78075.0
SZUMIŁOWO,8,280000.0,204017.75
MALANKOWO,8,200000.0,150693.75
DZIEWIERZEWO,8,235000.0,249567.5
SUCHARY,8,142350.0,184471.53
NOWAWIEŚ CHEŁMIŃSKA,8,220000.0,285706.25
WIELKIE ZAJĄCZKOWO,8,181000.0,172750.0
OBUDNO,8,47500.0,91643.75
BYTKOWICE,8,110000.0,187500.0
BYSZEWO,8,90000.0,113125.0
IWIEC,8,140000.0,184937.5
NOWOGRÓD,8,257500.0,255000.0
BORKOWO,8,107500.0,175650.0
STAW,8,375000.0,281974.125
OSTROWITE,8,262500.0,256875.0
SOKOLE-KUŹNICA,8,295000.0,258956.625
KUCZWAŁY,8,12000.0,118802.125
CEGIELNIK,8,530670.0,491710.0
PLEWNO,8,140750.0,180375.0
OKOLE,8,468200.0,435837.5
MURZYNNO,8,97500.0,142087.5
NEKLA,8,570000.0,512500.0
DOBRZEJEWICE,8,476000.0,485437.5
NOWA CHEŁMŻA,8,280000.0,287500.0
SZYNWAŁD,8,85000.0,140375.0
CIECHOCIN,7,145000.0,262142.85714285713
CIĘŻKOWO,7,125000.0,109571.42857142857
KLONOWO,7,225000.0,195428.57142857142
BIELSK,7,285000.0,316714.28571428574
JAROSZEWO,7,95000.0,139571.42857142858
KOŁUDA MAŁA,7,100000.0,118857.14285714286
